instante,HS10_mean,HS20_mean,HS30_mean,HS30_min,HS40_mean,HS50_mean,HS60_mean,TS30_mean,dendrometro_mean,litros_arbol_last,litros_intervalo_sum,evento_riego_max,TA_mean,HA_mean,radiacion_mean
2018-07-14 09:00:00,0.8624278935543129,0.8671416556089201,0.8542113923561421,0.8429515923566879,0.7928420356341183,0.8527459295751353,0.7708652160221051,28.44288747346072,38.79,482.2,14.599999999999966,1.0,29.135,58.62833333333333,632.7666666666667
2018-07-14 10:00:00,0.8605434152537782,0.864760796406912,0.8552318328270977,0.8545460925039873,0.8165287676462919,0.8571330088515053,0.7715389709617124,28.3562101910828,38.790547372611464,498.0,15.800000000000011,1.0,30.848333333333333,51.333333333333336,754.1666666666666
2018-07-14 11:00:00,0.8624394121401747,0.8643233113061557,0.8548821504095598,0.8534741626794259,0.8223374659687726,0.8650704409583599,0.7761675601133696,28.2,38.79162752123142,511.8,13.800000000000013,1.0,32.623333333333335,45.215,830.3333333333334
2018-07-14 12:00:00,0.8572380313358189,0.8498821204417627,0.8418387167433639,0.8373114649681528,0.8037863932655419,0.8652325579377415,0.7796550549070999,28.2,38.782800061036106,511.8,0.0,0.0,33.52166666666667,41.483333333333334,780.8333333333334
2018-07-14 13:00:00,0.8522489353813021,0.8427380287538475,0.8328561759058909,0.8301305732484077,0.7908087179623929,0.8634554082985403,0.7794645700636943,28.28545647558386,38.770419580907976,511.8,0.0,0.0,34.178333333333335,44.51333333333334,821.8333333333334
2018-07-14 14:00:00,0.8488007508880288,0.8391685399926181,0.8270948145128795,0.8252165605095542,0.7833202553527228,0.8623301039645533,0.7791886062265294,28.399999999999995,38.76047505307856,511.8,0.0,0.0,34.60166666666667,41.38,750.15
2018-07-14 15:00:00,0.8457279822520806,0.8361497129879454,0.8230581620020555,0.8216412420382165,0.777955703975464,0.8613897494895316,0.7790338173894492,28.399999999999995,38.75569665605096,511.8,0.0,0.0,33.96,41.586666666666666,631.7833333333333
2018-07-14 16:00:00,0.8422676242393766,0.8336703824195695,0.8199962760779095,0.8188646496815286,0.7737832100759522,0.8605685219611469,0.7786051036682616,28.457377919320592,38.752542530568846,511.8,0.0,0.0,33.12166666666667,44.30166666666667,476.2
2018-07-14 17:00:00,0.8394138511328505,0.8312352359075165,0.8175246853804556,0.8168175159235669,0.7705714378108947,0.8597987549819347,0.7784470494417862,28.600000000000005,38.7525,511.8,0.0,0.0,32.251666666666665,47.708333333333336,307.68333333333334
2018-07-14 18:00:00,0.8374519121825023,0.8294381648364301,0.8158976645435244,0.8154560509554141,0.7680843431803791,0.85908266985138,0.7781093683651804,28.600000000000005,38.7525,511.8,0.0,0.0,31.01,50.38,142.16833333333332
